target_profession,level_1,iate
CEO,n,515.0
CEO,cate_mean,-0.3033350258095109
CEO,cate_se,0.003805142191897263
amir,n,387.0
amir,cate_mean,-0.23637945560699372
amir,cate_se,0.004512222297973146
analist,n,503.0
analist,cate_mean,-0.1771748493194356
analist,cate_se,0.007068515477293583
asistan,n,350.0
asistan,cate_mean,0.5797866528573595
asistan,cate_se,0.008042618328548669
asistant,n,11.0
asistant,cate_mean,0.03552369636091299
asistant,cate_se,0.029380617444189787
avukat,n,570.0
avukat,cate_mean,-0.31386894814455374
avukat,cate_se,0.0039912288737991705
denetçi,n,344.0
denetçi,cate_mean,0.46591111648720235
denetçi,cate_se,0.008751441597342872
doktor,n,569.0
doktor,cate_mean,-0.3016083749243576
doktor,cate_se,0.0036769810035418085
editör,n,410.0
editör,cate_mean,0.5739629498303304
editör,cate_se,0.008211940014955411
geliştirici,n,565.0
geliştirici,cate_mean,-0.2895015105156185
geliştirici,cate_se,0.0035068303388382407
görevli,n,425.0
görevli,cate_mean,0.4548717135407998
görevli,cate_se,0.006957339880310305
güvenlik görevlisi,n,572.0
güvenlik görevlisi,cate_mean,-0.13919882361429703
güvenlik görevlisi,cate_se,0.007509777313563467
hemşire,n,488.0
hemşire,cate_mean,-0.16475057714445068
hemşire,cate_se,0.003970540152035324
hizmetli,n,524.0
hizmetli,cate_mean,0.48232891954550355
hizmetli,cate_se,0.005161704926341084
inşaat işçisi,n,492.0
inşaat işçisi,cate_mean,-0.33337647383143143
inşaat işçisi,cate_se,0.0027668588381863602
işçi,n,547.0
işçi,cate_mean,-0.2540930912914567
işçi,cate_se,0.003858080145355587
kasiyer,n,533.0
kasiyer,cate_mean,0.41771612171938555
kasiyer,cate_se,0.002574195819947226
kuaför,n,400.0
kuaför,cate_mean,0.4485497535669214
kuaför,cate_se,0.008054376688746763
kütüphaneci,n,346.0
kütüphaneci,cate_mean,0.4230667309247944
kütüphaneci,cate_se,0.00675993019548676
marangoz,n,442.0
marangoz,cate_mean,-0.27983310060717653
marangoz,cate_se,0.0042473536364790645
memur,n,374.0
memur,cate_mean,0.44387044545769705
memur,cate_se,0.008816507878425157
muhasebeci,n,487.0
muhasebeci,cate_mean,0.5719353464590575
muhasebeci,cate_se,0.006018755295829002
nakliyeci,n,530.0
nakliyeci,cate_mean,-0.1622413113694361
nakliyeci,cate_se,0.008219463710755109
resepsiyonist,n,490.0
resepsiyonist,cate_mean,-0.08062360880500369
resepsiyonist,cate_se,0.005020461566071987
sekreter,n,530.0
sekreter,cate_mean,-0.2950814559297746
sekreter,cate_se,0.003984773295118514
sürücü,n,582.0
sürücü,cate_mean,-0.3108825739145569
sürücü,cate_se,0.003184127746634053
tamirci,n,644.0
tamirci,cate_mean,-0.378908338030314
tamirci,cate_se,0.0027024842187507365
temizlikçi,n,473.0
temizlikçi,cate_mean,0.0675830045024917
temizlikçi,cate_se,0.008301719398291631
terzi,n,461.0
terzi,cate_mean,0.6108406217863798
terzi,cate_se,0.006298466396908143
yazar,n,368.0
yazar,cate_mean,0.6400041820046622
yazar,cate_se,0.011438769621989392
yönetici,n,400.0
yönetici,cate_mean,-0.25658818372459646
yönetici,cate_se,0.0062920460647932445
çiftçi,n,460.0
çiftçi,cate_mean,-0.22864215013831937
çiftçi,cate_se,0.004858284042141199
ögretmen,n,6.0
ögretmen,cate_mean,-0.042560965435420685
ögretmen,cate_se,0.014758344276473932
öğretmen,n,445.0
öğretmen,cate_mean,0.4802428502370088
öğretmen,cate_se,0.00565148506940586
şef,n,567.0
şef,cate_mean,-0.3210029705067959
şef,cate_se,0.0037344765096357915
şerif,n,521.0
şerif,cate_mean,-0.3533784621023819
şerif,cate_se,0.0021508798696800785
